,dataset_index,dataset_index,dataset_index,dataset_index,value,value,value,value
,mean,std,min,max,mean,std,min,max
question_id,,,,,,,,
pitch-linear-double-0-q1-a,0.0,0.0,0,0,0.5,0.7071067811865476,False,True
pitch-linear-double-0-q1-b,0.0,0.0,0,0,0.5,0.7071067811865476,False,True
pitch-linear-double-0-q2-a,0.0,0.0,0,0,0.0,0.0,False,False
pitch-linear-double-0-q2-b,0.0,0.0,0,0,0.0,0.0,False,False
pitch-linear-double-1-q1-a,5.5,0.0,1,1,0.0,0.0,False,False
pitch-linear-double-1-q1-b,5.5,0.0,1,1,1.0,0.0,True,True
pitch-linear-double-1-q2-a,5.5,0.0,1,1,0.5,0.7071067811865476,False,True
pitch-linear-double-1-q2-b,5.5,0.0,1,1,0.0,0.0,False,False
pitch-linear-double-2-q1-a,11.0,0.0,2,2,1.0,0.0,True,True
pitch-linear-double-2-q1-b,11.0,0.0,2,2,0.5,0.7071067811865476,False,True
pitch-linear-double-2-q2-a,11.0,0.0,2,2,0.0,0.0,False,False
pitch-linear-double-2-q2-b,11.0,0.0,2,2,1.0,0.0,True,True
pitch-linear-double-3-q1-a,16.5,0.0,3,3,0.5,0.7071067811865476,False,True
pitch-linear-double-3-q1-b,16.5,0.0,3,3,0.0,0.0,False,False
pitch-linear-double-3-q2-a,16.5,0.0,3,3,0.0,0.0,False,False
pitch-linear-double-3-q2-b,16.5,0.0,3,3,0.0,0.0,False,False
pitch-linear-single-0-q1-a,0.0,0.0,0,0,1.0,0.0,True,True
pitch-linear-single-0-q2-a,0.0,0.0,0,0,0.0,0.0,False,False
pitch-linear-single-1-q1-a,5.5,0.0,1,1,0.5,0.7071067811865476,False,True
pitch-linear-single-1-q2-a,5.5,0.0,1,1,0.5,0.7071067811865476,False,True
pitch-linear-single-2-q1-a,11.0,0.0,2,2,0.5,0.7071067811865476,False,True
pitch-linear-single-2-q2-a,11.0,0.0,2,2,0.5,0.7071067811865476,False,True
pitch-linear-single-3-q1-a,16.5,0.0,3,3,1.0,0.0,True,True
pitch-linear-single-3-q2-a,16.5,0.0,3,3,1.0,0.0,True,True
pitch-random-double-0-q1-a,0.0,0.0,0,0,3.0,0.0,3,3
pitch-random-double-0-q1-b,0.0,0.0,0,0,5.0,1.4142135623730951,4,6
pitch-random-double-1-q1-a,5.5,0.0,1,1,9.5,7.7781745930520225,4,15
pitch-random-double-1-q1-b,5.5,0.0,1,1,15.5,4.949747468305833,12,19
pitch-random-double-2-q1-a,11.0,0.0,2,2,7.0,1.4142135623730951,6,8
pitch-random-double-2-q1-b,11.0,0.0,2,2,4.5,3.5355339059327378,2,7
pitch-random-double-3-q1-a,16.5,0.0,3,3,3.5,2.1213203435596424,2,5
pitch-random-double-3-q1-b,16.5,0.0,3,3,3.5,2.1213203435596424,2,5
pitch-random-single-0-q1-a,0.0,0.0,0,0,2.5,2.1213203435596424,1,4
pitch-random-single-1-q1-a,5.5,0.0,1,1,1.0,0.0,1,1
pitch-random-single-2-q1-a,11.0,0.0,2,2,1.0,0.0,1,1
pitch-random-single-3-q1-a,16.5,0.0,3,3,3.0,1.4142135623730951,2,4
spatial-linear-double-0-q1-a,0.0,0.0,0,0,0.0,0.0,False,False
spatial-linear-double-0-q1-b,0.0,0.0,0,0,0.5,0.7071067811865476,False,True
spatial-linear-double-0-q2-a,0.0,0.0,0,0,0.0,0.0,False,False
spatial-linear-double-0-q2-b,0.0,0.0,0,0,0.5,0.7071067811865476,False,True
spatial-linear-double-1-q1-a,5.5,0.0,1,1,0.0,0.0,False,False
spatial-linear-double-1-q1-b,5.5,0.0,1,1,0.5,0.7071067811865476,False,True
