_index,data_index,question_id,answer,answer_2
1,0,tempo-random-single-0-q1,-6,
2,1,tempo-random-single-1-q1,-2,
3,2,tempo-random-single-2-q1,-2,
4,3,tempo-random-single-3-q1,3,
5,0,tempo-random-double-0-q1,-5,2
6,1,tempo-random-double-1-q1,-5,0
7,2,tempo-random-double-2-q1,-2,5
8,3,tempo-random-double-3-q1,-4,0
9,0,tempo-linear-single-0-q1,a,
10,0,tempo-linear-single-0-q2,c,
11,1,tempo-linear-single-1-q1,c,
12,1,tempo-linear-single-1-q2,c,
13,2,tempo-linear-single-2-q1,b,
14,2,tempo-linear-single-2-q2,c,
15,3,tempo-linear-single-3-q1,b,
16,3,tempo-linear-single-3-q2,c,
17,0,tempo-linear-double-0-q1,b,a
18,0,tempo-linear-double-0-q2,a,a
19,1,tempo-linear-double-1-q1,d,d
20,1,tempo-linear-double-1-q2,b,a
21,2,tempo-linear-double-2-q1,c,c
22,2,tempo-linear-double-2-q2,c,c
23,3,tempo-linear-double-3-q1,b,b
24,3,tempo-linear-double-3-q2,c,c
25,0,pitch-random-single-0-q1,2,
26,1,pitch-random-single-1-q1,5,
27,2,pitch-random-single-2-q1,3,
28,3,pitch-random-single-3-q1,6,
29,0,pitch-random-double-0-q1,7,2
30,1,pitch-random-double-1-q1,6,-3
31,2,pitch-random-double-2-q1,-1,7
32,3,pitch-random-double-3-q1,6,-4
33,0,pitch-linear-single-0-q1,a,
34,0,pitch-linear-single-0-q2,a,
35,1,pitch-linear-single-1-q1,b,
36,1,pitch-linear-single-1-q2,c,
37,2,pitch-linear-single-2-q1,c,
38,2,pitch-linear-single-2-q2,a,
39,3,pitch-linear-single-3-q1,b,
40,3,pitch-linear-single-3-q2,c,
41,0,pitch-linear-double-0-q1,c,d
42,0,pitch-linear-double-0-q2,a,c
43,1,pitch-linear-double-1-q1,c,d
44,1,pitch-linear-double-1-q2,c,a
45,2,pitch-linear-double-2-q1,b,b
46,2,pitch-linear-double-2-q2,a,c
47,3,pitch-linear-double-3-q1,a,d
48,3,pitch-linear-double-3-q2,a,a
49,0,spatial-random-single-0-q1,-3,
50,1,spatial-random-single-1-q1,-1,
51,2,spatial-random-single-2-q1,-2,
52,3,spatial-random-single-3-q1,2,
53,0,spatial-random-double-0-q1,-2,6
54,1,spatial-random-double-1-q1,5,-2
55,2,spatial-random-double-2-q1,5,2
56,3,spatial-random-double-3-q1,5,-2
57,0,spatial-linear-single-0-q1,a,
58,0,spatial-linear-single-0-q2,a,
59,1,spatial-linear-single-1-q1,d,
60,1,spatial-linear-single-1-q2,c,
61,2,spatial-linear-single-2-q1,a,
62,2,spatial-linear-single-2-q2,a,
63,3,spatial-linear-single-3-q1,a,
64,3,spatial-linear-single-3-q2,a,
65,0,spatial-linear-double-0-q1,b,b
66,0,spatial-linear-double-0-q2,b,a
67,1,spatial-linear-double-1-q1,b,b
68,1,spatial-linear-double-1-q2,b,c
69,2,spatial-linear-double-2-q1,c,c
70,2,spatial-linear-double-2-q2,c,c
71,3,spatial-linear-double-3-q1,b,c
72,3,spatial-linear-double-3-q2,c,a
