date,A,B
0,0.6716005047879929,-0.41156685279010363
1,0.47493288441813264,-0.35912610580294574
2,0.2782652640482723,-0.3066853588157878
3,0.08159764367841194,-0.2542446118286299
4,-0.11506997669144836,-0.20180386484147197
5,-0.31173759706130866,-0.14936311785431405
6,-0.21218146408191674,-0.10422904583006543
7,-0.11262533110252484,-0.05909497380581681
8,-0.013069198123132952,-0.013960901781568197
9,0.08648693485625897,0.03117317024268043
10,0.1860430678356509,0.07630724226692906
11,0.28559920081504275,0.12144131429117766
12,0.3851553337944347,0.1665753863154263
13,0.4847114667738266,0.21170945833967492
14,0.5842675997532185,0.25684353036392354
15,0.6838237327326104,0.3019776023881722
