date,A,B
0,0.00E+00,9.51E-01
1,1.25E-01,9.51E-01
2,2.49E-01,5.88E-01
3,3.68E-01,-1.96E-15
4,4.82E-01,-5.88E-01
5,5.88E-01,-9.51E-01
6,6.85E-01,-9.51E-01
7,7.71E-01,-5.88E-01
8,8.44E-01,-1.71E-15
9,9.05E-01,5.88E-01
10,9.51E-01,9.51E-01
11,9.82E-01,9.51E-01
12,9.98E-01,5.88E-01
13,9.98E-01,5.39E-15
14,9.82E-01,-5.88E-01
15,9.51E-01,-9.51E-01
16,9.05E-01,-9.51E-01
17,8.44E-01,-5.88E-01
18,7.71E-01,-1.96E-15
19,6.85E-01,5.88E-01
20,5.88E-01,9.51E-01
21,4.82E-01,9.51E-01
22,3.68E-01,5.88E-01
23,2.49E-01,-1.47E-15
24,1.25E-01,-5.88E-01
25,1.22E-16,-9.51E-01
26,-1.25E-01,-9.51E-01
27,-2.49E-01,-5.88E-01
28,-3.68E-01,-2.20E-15
29,-4.82E-01,5.88E-01
30,-5.88E-01,9.51E-01
31,-6.85E-01,9.51E-01
32,-7.71E-01,5.88E-01
33,-8.44E-01,5.88E-15
34,-9.05E-01,-5.88E-01
35,-9.51E-01,-9.51E-01
36,-9.82E-01,-9.51E-01
37,-9.98E-01,-5.88E-01
38,-9.98E-01,-2.45E-15
39,-9.82E-01,5.88E-01
40,-9.51E-01,9.51E-01
41,-9.05E-01,9.51E-01
42,-8.44E-01,5.88E-01
43,-7.71E-01,-9.81E-16
44,-6.85E-01,-5.88E-01
45,-5.88E-01,-9.51E-01
46,-4.82E-01,-9.51E-01
47,-3.68E-01,-5.88E-01
48,-2.49E-01,-9.80E-15
49,-1.25E-01,5.88E-01
50,-2.45E-16,9.51E-01
51,1.25E-01,9.51E-01
52,2.49E-01,5.88E-01
53,3.68E-01,6.37E-15
54,4.82E-01,-5.88E-01
55,5.88E-01,-9.51E-01
56,6.85E-01,-9.51E-01
57,7.71E-01,-5.88E-01
58,8.44E-01,-2.94E-15
59,9.05E-01,5.88E-01
60,9.51E-01,9.51E-01
61,9.82E-01,9.51E-01
62,9.98E-01,5.88E-01
63,9.98E-01,-4.91E-16
64,9.82E-01,-5.88E-01
65,9.51E-01,-9.51E-01
66,9.05E-01,-9.51E-01
67,8.44E-01,-5.88E-01
68,7.71E-01,-2.94E-15
69,6.85E-01,5.88E-01
70,5.88E-01,9.51E-01
71,4.82E-01,9.51E-01
72,3.68E-01,5.88E-01
73,2.49E-01,-4.91E-16
74,1.25E-01,-5.88E-01
75,3.67E-16,-9.51E-01
76,-1.25E-01,-9.51E-01
77,-2.49E-01,-5.88E-01
78,-3.68E-01,-2.94E-15
79,-4.82E-01,5.88E-01
80,-5.88E-01,9.51E-01
81,-6.85E-01,9.51E-01
82,-7.71E-01,5.88E-01
83,-8.44E-01,-4.91E-16
84,-9.05E-01,-5.88E-01
85,-9.51E-01,-9.51E-01
86,-9.82E-01,-9.51E-01
87,-9.98E-01,-5.88E-01
88,-9.98E-01,-2.94E-15
89,-9.82E-01,5.88E-01
90,-9.51E-01,9.51E-01
91,-9.05E-01,9.51E-01
92,-8.44E-01,5.88E-01
93,-7.71E-01,-4.91E-16
94,-6.85E-01,-5.88E-01
95,-5.88E-01,-9.51E-01
96,-4.82E-01,-9.51E-01
97,-3.68E-01,-5.88E-01
98,-2.49E-01,-2.94E-15
99,-1.25E-01,5.88E-01
100,-4.90E-16,9.51E-01
101,1.25E-01,9.51E-01
102,2.49E-01,5.88E-01
103,3.68E-01,-4.91E-16
104,4.82E-01,-5.88E-01
105,5.88E-01,-9.51E-01
106,6.85E-01,-9.51E-01
107,7.71E-01,-5.88E-01
108,8.44E-01,-2.94E-15
109,9.05E-01,5.88E-01
110,9.51E-01,9.51E-01
111,9.82E-01,9.51E-01
112,9.98E-01,5.88E-01
113,9.98E-01,-4.91E-16
114,9.82E-01,-5.88E-01
115,9.51E-01,-9.51E-01
116,9.05E-01,-9.51E-01
117,8.44E-01,-5.88E-01
118,7.71E-01,-2.94E-15
119,6.85E-01,5.88E-01
120,5.88E-01,9.51E-01
121,4.82E-01,9.51E-01
122,3.68E-01,5.88E-01
123,2.49E-01,-4.91E-16
124,1.25E-01,-5.88E-01
125,6.12E-16,-9.51E-01
126,-1.25E-01,-5.88E-01
127,-2.49E-01,-4.91E-16
