date,A,B
0,0.5724751107482462,0.5122242847878415
1,0.47786043393113087,0.6623729070915024
2,0.3832457571140156,0.8125215293951633
3,0.2886310802969003,0.9626701516988242
4,0.194016403479785,0.8744688125658139
5,0.09940172666266966,0.7862674734328036
6,0.17768685017847202,0.6980661342997933
7,0.2559719736942744,0.6098647951667829
8,0.3342570972100768,0.5216634560337726
9,0.41254222072587915,0.4334621169007623
10,0.4908273442416815,0.345260777767752
11,0.5691124677574839,0.2570594386347417
12,0.6473975912732862,0.16885809950173136
13,0.7256827147890886,0.08065676036872105
14,0.803967838304891,-0.007544578764289267
15,0.8822529618206933,-0.09574591789729958
